任务名称,截止日期,状态,紧急否,重要否,地址,是否完成,网址
"今日头条 工作能力强的人,都会建立SOP - 今日头条，https://m.toutiao.com/is/iMHd9WYV/",,已完成,No,No,,No,
短视频平台的负面影响,,还未开始,No,No,,No,
爸妈体检套餐,,还未开始,No,No,,No,
李连杰 鲁豫有约 哲学整理,,还未开始,No,No,,No,
不要无止境的追求财富，钱有点就行了，更不要想着留给子孙后代,,还未开始,No,No,,No,
maxai.me学习,,还未开始,No,No,,No,
结肠炎：低纤维，低脂肪的食物,,还未开始,No,No,,No,
人生七年 记录片,,还未开始,No,No,,No,
大盛魁对联：贪心惹祸，十分仍不满足，乃人生大病；舍利招财，一味就学吃亏，乃处世良方,,还未开始,No,No,,No,
电热毯，空调，取暖器，珊瑚绒四件套，热水袋，棉手套,,已完成,No,No,,No,
鼠标有油渍怎么办,,还未开始,No,No,,No,
老年 胆识 魄力 胆量,,还未开始,No,No,,No,
天津河西，长期持有，我转行，学区房的价值，二胎,,还未开始,No,No,,No,
小抓-6岁到16岁的教育文档-花心思,,还未开始,No,No,,No,
南京幼儿园,,还未开始,No,No,,Yes,
咨询移动流量卡套餐,,还未开始,No,No,,No,
Boss百科-股票投资顾问,,还未开始,No,No,,No,
未来不确定，才有意思，不要焦虑,,还未开始,No,No,,No,
景明佳园幼儿园入学咨询,,还未开始,No,No,,Yes,
Mbti性格测试,,还未开始,No,No,,No,
爸爸怎么做一家之主,,还未开始,No,No,,No,
小鹏P7+发布会,,已完成,No,No,,No,
全局代理可以访问wps，直接连接不可以访问wps,,还未开始,No,No,,No,
Calendar gallery标签,,已完成,No,No,,Yes,
Table board list标签,,已完成,No,No,,Yes,
To-do代办清单，使用数据库，排序统计,,已完成,No,No,,Yes,
老子传奇 电视剧-看第29集,,已完成,No,No,,No,
中软-倪磊-周军,,还未开始,No,No,,No,
Vivo系统及手机,,已完成,No,No,,Yes,
李广日常沟通,,还未开始,No,No,,No,
任督二脉，黄帝内经，人体湿寒之气,,还未开始,No,No,,No,
脑科，精神科,,还未开始,No,No,,No,
咨询景明佳园幼儿园入学,2024年11月24日 14:00 (GMT+8) → 15:00,已完成,No,No,,Yes,
南京中医药-传统特色疗法,2024年11月24日 10:00 (GMT+8) → 11:00,已完成,No,No,,Yes,
完善测试用例方案,2024年11月25日,已完成,No,No,,Yes,
付航，一年级被叫臭狗屎，之后，回复爷爷在此,,已完成,No,No,,No,
Open pages as 设置,,还未开始,No,No,,Yes,
望京博格 学历歧视？,,已完成,No,No,,Yes,
小抓的mov视频，使用imove合并,,已完成,No,No,,No,
小抓的耳聋基因&三尖瓣反流,,还未开始,No,Yes,,No,
Notion画图,,还未开始,No,No,,No,
小鹏 P7+智驾分享会,,还未开始,No,No,,No,
关注dia浏览器进展,,已完成,No,No,,Yes,
Apple vision pro 演示,2024年12月7日 10:00 (GMT+8) → 10:30,已完成,No,No,Apple 新街口,Yes,
禧徕汤休闲浴场,2024年12月7日 14:00 (GMT+8) → 16:00,已完成,No,No,禧徕汤休闲浴场,Yes,
招商银行(雨花科技支行),2024年12月8日 14:00 (GMT+8) → 17:00,已完成,No,No,,Yes,
南京市中医院大明路院区,2024年12月8日 10:00 (GMT+8) → 12:00,已完成,No,No,,Yes,
vivo面试 手写笔和键盘外设,2024年12月19日 20:00 (GMT+8),已完成,No,No,"会议主题：张利顺-Android应用工程师面试会议时间：2024-12-19 16:00:00会议号：474849705会议密码：389293会议链接：https://meeting.tencent.com/dm/LgEjcSNnU9oG

https://m.zhipin.com/mpa/html/weijd/weijd-job/c139b9cc1dce29a11HB93Nu9F1JY?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2
",No,
vivo 手机系统应用,2024年12月13日 20:00 (GMT+8) → 21:00,已完成,No,No,"王倩楠 邀请您参加腾讯会议 会议主题：张利顺-Android-南京vivo 会议时间：2024/12/13 20:00-21:00 (GMT+08:00) 中国标准时间 - 北京
点击链接入会，或添加至会议列表： https://meeting.tencent.com/dm/tH67GYhL6vuh
#腾讯会议：101-481-660
复制该信息，打开手机腾讯会议即可参与


https://m.zhipin.com/mpa/html/weijd/weijd-job/4239faee65a4687c03R_2t27EFpW?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2

",No,https://m.zhipin.com/mpa/html/weijd/weijd-job/4239faee65a4687c03R_2t27EFpW?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2
vivo面试，稳定性能,2024年12月16日 20:00 (GMT+8) → 21:00,已完成,No,No,"邀请您参加腾讯会议 会议主题：Vivo-应用软件工程师-张利顺 会议时间：2024/12/16 20:00-21:00 (GMT+08:00) 中国标准时间 - 北京
点击链接入会，或添加至会议列表： https://meeting.tencent.com/dm/sCkqTwfEqK9M
#腾讯会议：600-942-959


https://m.zhipin.com/mpa/html/weijd/weijd-job/8d33866013dd978d03R40tu0FVZT?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2
",No,
