任务名称,地址,截止日期,是否完成,状态,紧急否,网址,重要否
"今日头条 工作能力强的人,都会建立SOP - 今日头条，https://m.toutiao.com/is/iMHd9WYV/",,,No,已完成,No,,No
短视频平台的负面影响,,,No,还未开始,No,,No
爸妈体检套餐,,,No,还未开始,No,,No
李连杰 鲁豫有约 哲学整理,,,No,还未开始,No,,No
不要无止境的追求财富，钱有点就行了，更不要想着留给子孙后代,,,No,还未开始,No,,No
maxai.me学习,,,No,还未开始,No,,No
结肠炎：低纤维，低脂肪的食物,,,No,还未开始,No,,No
人生七年 记录片,,,No,还未开始,No,,No
大盛魁对联：贪心惹祸，十分仍不满足，乃人生大病；舍利招财，一味就学吃亏，乃处世良方,,,No,还未开始,No,,No
电热毯，空调，取暖器，珊瑚绒四件套，热水袋，棉手套,,,No,已完成,No,,No
鼠标有油渍怎么办,,,No,还未开始,No,,No
老年 胆识 魄力 胆量,,,No,还未开始,No,,No
天津河西，长期持有，我转行，学区房的价值，二胎,,,No,还未开始,No,,No
小抓-6岁到16岁的教育文档-花心思,,,No,还未开始,No,,No
南京幼儿园,,,Yes,还未开始,No,,No
咨询移动流量卡套餐,,,No,还未开始,No,,No
Boss百科-股票投资顾问,,,No,还未开始,No,,No
未来不确定，才有意思，不要焦虑,,,No,还未开始,No,,No
景明佳园幼儿园入学咨询,,,Yes,还未开始,No,,No
Mbti性格测试,,,No,还未开始,No,,No
爸爸怎么做一家之主,,,No,还未开始,No,,No
小鹏P7+发布会,,,No,已完成,No,,No
全局代理可以访问wps，直接连接不可以访问wps,,,No,还未开始,No,,No
Calendar gallery标签,,,Yes,已完成,No,,No
Table board list标签,,,Yes,已完成,No,,No
To-do代办清单，使用数据库，排序统计,,,Yes,已完成,No,,No
老子传奇 电视剧-看第29集,,,No,已完成,No,,No
中软-倪磊-周军,,,No,还未开始,No,,No
Vivo系统及手机,,,Yes,已完成,No,,No
李广日常沟通,,,No,还未开始,No,,No
任督二脉，黄帝内经，人体湿寒之气,,,No,还未开始,No,,No
脑科，精神科,,,No,还未开始,No,,No
咨询景明佳园幼儿园入学,,2024年11月24日 14:00 (GMT+8) → 15:00,Yes,已完成,No,,No
南京中医药-传统特色疗法,,2024年11月24日 10:00 (GMT+8) → 11:00,Yes,已完成,No,,No
完善测试用例方案,,2024年11月25日,Yes,已完成,No,,No
付航，一年级被叫臭狗屎，之后，回复爷爷在此,,,No,已完成,No,,No
Open pages as 设置,,,Yes,还未开始,No,,No
望京博格 学历歧视？,,,Yes,已完成,No,,No
小抓的mov视频，使用imove合并,,,No,已完成,No,,No
小抓的耳聋基因&三尖瓣反流,,,No,还未开始,No,,Yes
Notion画图,,,No,还未开始,No,,No
小鹏 P7+智驾分享会,,,No,还未开始,No,,No
关注dia浏览器进展,,,Yes,已完成,No,,No
Apple vision pro 演示,Apple 新街口,2024年12月7日 10:00 (GMT+8) → 10:30,Yes,已完成,No,,No
禧徕汤休闲浴场,禧徕汤休闲浴场,2024年12月7日 14:00 (GMT+8) → 16:00,Yes,已完成,No,,No
招商银行(雨花科技支行),,2024年12月8日 14:00 (GMT+8) → 17:00,Yes,已完成,No,,No
南京市中医院大明路院区,,2024年12月8日 10:00 (GMT+8) → 12:00,Yes,已完成,No,,No
